67BE8BF1BCEE118C6E315B18939721133F06C1269CCCF44F83097F123AB5DC30||1518120109|2342352, xbg, 51.84170395150691 TambergCoin;2342352, wga, 2212.417891869917 TambergCoin;2342352, dfb, 2395.6095531939686 TambergCoin;2342352, mmi, 6153.6212931613945 TambergCoin;2342352, kjk, 6315.154157177474 TambergCoin;2342352, sdt, 6510.262320641398 TambergCoin;2342352, tux, 7199.174851136258 TambergCoin;2342352, sin, 7655.257910990667 TambergCoin;2342352, fnh, 8095.102097503844 TambergCoin;2342352, xbx, 8275.1199406978 TambergCoin;983563532, fnh -> rfq - 8095.102097503844 TambergCoin;1079869751, sdt -> tcp - 6510.262320641398 TambergCoin;1100132346, xbg -> aov - 51.84170395150691 TambergCoin;1131006460, kjk -> yul - 6315.154157177474 TambergCoin;1225113378, dfb -> reu - 2395.6095531939686 TambergCoin;1247522776, mmi -> inn - 6153.6212931613945 TambergCoin;1281011236, sin -> ksw - 7655.257910990667 TambergCoin;1447422517, tux -> gfi - 7199.174851136258 TambergCoin;1452813785, wga -> lhz - 2212.417891869917 TambergCoin;1518120109, xbx -> gzb - 8275.1199406978 TambergCoin
EA3F351A3326F057BEC8821D02C9E9CB0FA5B7BC62354A3C34B0331990B3579D|67BE8BF1BCEE118C6E315B18939721133F06C1269CCCF44F83097F123AB5DC30|1503163546|2342352, zgp, 1381.7798116783813 TambergCoin;2342352, imn, 2482.1948087728474 TambergCoin;2342352, ast, 2898.078367197022 TambergCoin;2342352, zen, 5740.025669443704 TambergCoin;2342352, uwv, 6269.136674743227 TambergCoin;2342352, fzf, 7673.271869689966 TambergCoin;2342352, cym, 9028.176250066024 TambergCoin;2342352, aqf, 9100.916948923934 TambergCoin;2342352, fni, 9482.580267242163 TambergCoin;2342352, oag, 9607.207999018152 TambergCoin;1129673702, cym -> gfc - 9028.176250066024 TambergCoin;1131640417, zgp -> efb - 1381.7798116783813 TambergCoin;1147027642, fzf -> shp - 7673.271869689966 TambergCoin;1178639648, zen -> skn - 5740.025669443704 TambergCoin;1184238117, aqf -> yhx - 9100.916948923934 TambergCoin;1227870560, imn -> bvy - 2482.1948087728474 TambergCoin;1324377303, uwv -> ujf - 6269.136674743227 TambergCoin;1423535313, oag -> zre - 9607.207999018152 TambergCoin;1473846085, ast -> oki - 2898.078367197022 TambergCoin;1503163546, fni -> ten - 9482.580267242163 TambergCoin
BD9DC8A1CB81CB2A75B1D66BD67D68BAEA63CCFB79F7C6B1B71F00074074EA14|EA3F351A3326F057BEC8821D02C9E9CB0FA5B7BC62354A3C34B0331990B3579D|1417721674|2342352, pzs, 24.94847965950538 TambergCoin;2342352, zyh, 1228.982650082611 TambergCoin;2342352, dwk, 1854.540295606033 TambergCoin;2342352, ibk, 2741.8025812130654 TambergCoin;2342352, pcb, 4711.68806712449 TambergCoin;2342352, ozd, 5460.257028853806 TambergCoin;2342352, scd, 5550.842799464952 TambergCoin;2342352, zjf, 8330.657391981516 TambergCoin;2342352, wvr, 9323.854284845735 TambergCoin;2342352, oif, 9891.814968231665 TambergCoin;979181337, zjf -> nkp - 8330.657391981516 TambergCoin;1002169881, pzs -> mnw - 24.94847965950538 TambergCoin;1042699291, zyh -> ouo - 1228.982650082611 TambergCoin;1256706873, ibk -> zkq - 2741.8025812130654 TambergCoin;1261990514, dwk -> oee - 1854.540295606033 TambergCoin;1316963023, ozd -> gee - 5460.257028853806 TambergCoin;1326657937, oif -> sli - 9891.814968231665 TambergCoin;1374865991, wvr -> mie - 9323.854284845735 TambergCoin;1405391599, pcb -> pqw - 4711.68806712449 TambergCoin;1417721674, scd -> lvt - 5550.842799464952 TambergCoin
9C8EA4868E4F67F149242008BD8AF2733027BF2BD6D352AA449EC8870C3C6BD7|BD9DC8A1CB81CB2A75B1D66BD67D68BAEA63CCFB79F7C6B1B71F00074074EA14|1493381238|2342352, ngu, 71.58464149744742 TambergCoin;2342352, hig, 3537.653285315117 TambergCoin;2342352, rki, 4948.785148408203 TambergCoin;2342352, cin, 5117.137698404256 TambergCoin;2342352, tnq, 5713.582991479547 TambergCoin;2342352, inn, 5770.561252854794 TambergCoin;2342352, azr, 8053.561763124249 TambergCoin;2342352, kko, 9286.855484500922 TambergCoin;2342352, kkh, 9634.47517808416 TambergCoin;2342352, gok, 9700.682045911068 TambergCoin;1000495516, cin -> vga - 5117.137698404256 TambergCoin;1064601833, kko -> olc - 9286.855484500922 TambergCoin;1115257377, rki -> ars - 4948.785148408203 TambergCoin;1163731296, gok -> afy - 9700.682045911068 TambergCoin;1182032354, inn -> lep - 5770.561252854794 TambergCoin;1246974755, hig -> wsv - 3537.653285315117 TambergCoin;1308317413, azr -> dwc - 8053.561763124249 TambergCoin;1362784924, tnq -> mcz - 5713.582991479547 TambergCoin;1411224182, ngu -> ibj - 71.58464149744742 TambergCoin;1493381238, kkh -> wai - 9634.47517808416 TambergCoin
3B2D097934E35C159E9A5EFFF736F39894A34E4655A8B27A29E82E0B2C0353D9|9C8EA4868E4F67F149242008BD8AF2733027BF2BD6D352AA449EC8870C3C6BD7|1458970715|2342352, xpe, 2181.6081929521965 TambergCoin;2342352, ppl, 3902.5595756986613 TambergCoin;2342352, otc, 3970.5449233568515 TambergCoin;2342352, yrv, 4584.002528456298 TambergCoin;2342352, iht, 5246.945106978631 TambergCoin;2342352, chf, 5458.687638209413 TambergCoin;2342352, xqk, 6474.795833026103 TambergCoin;2342352, tql, 8626.18310743676 TambergCoin;2342352, gjr, 9143.52495673468 TambergCoin;2342352, jza, 9416.401234980192 TambergCoin;993234826, xpe -> wix - 2181.6081929521965 TambergCoin;994358883, gjr -> etr - 9143.52495673468 TambergCoin;1003319742, ppl -> enz - 3902.5595756986613 TambergCoin;1029932668, tql -> pmh - 8626.18310743676 TambergCoin;1100449946, iht -> vcb - 5246.945106978631 TambergCoin;1114054113, chf -> vee - 5458.687638209413 TambergCoin;1375095553, jza -> raq - 9416.401234980192 TambergCoin;1406698751, xqk -> lwg - 6474.795833026103 TambergCoin;1423997351, yrv -> ssj - 4584.002528456298 TambergCoin;1458970715, otc -> wdw - 3970.5449233568515 TambergCoin
E1136BA3908A38B64AD1159C73EF71BBF7AC8A8309BB0D615421EA69F2B135FB|3B2D097934E35C159E9A5EFFF736F39894A34E4655A8B27A29E82E0B2C0353D9|1481357034|2342352, qbw, 213.0963847578284 TambergCoin;2342352, sbi, 331.3609175577448 TambergCoin;2342352, jzy, 1135.6647122386796 TambergCoin;2342352, zwr, 2999.7031800263035 TambergCoin;2342352, sor, 3510.6604512909125 TambergCoin;2342352, nip, 4581.455032892095 TambergCoin;2342352, shl, 7133.023417088183 TambergCoin;2342352, cfi, 8913.624147399494 TambergCoin;2342352, trh, 9219.96330123586 TambergCoin;2342352, bgb, 9579.58121077004 TambergCoin;982208278, qbw -> mmk - 213.0963847578284 TambergCoin;984155220, zwr -> ffa - 2999.7031800263035 TambergCoin;1046733717, jzy -> xbo - 1135.6647122386796 TambergCoin;1057995365, shl -> cel - 7133.023417088183 TambergCoin;1214536875, nip -> afb - 4581.455032892095 TambergCoin;1287671439, sbi -> ukr - 331.3609175577448 TambergCoin;1331941713, trh -> auy - 9219.96330123586 TambergCoin;1403491526, cfi -> qzw - 8913.624147399494 TambergCoin;1456390841, bgb -> wuv - 9579.58121077004 TambergCoin;1481357034, sor -> enj - 3510.6604512909125 TambergCoin
7D3029327E8C8F21DACF9E16D66AF785D568E1D09A69BA8AD38A710FFC979826|E1136BA3908A38B64AD1159C73EF71BBF7AC8A8309BB0D615421EA69F2B135FB|1505551779|2342352, how, 1138.6552439635682 TambergCoin;2342352, zfy, 2649.5730188766192 TambergCoin;2342352, kky, 3664.761856618379 TambergCoin;2342352, pjd, 3949.6611536898613 TambergCoin;2342352, lwh, 5310.860835766131 TambergCoin;2342352, lfk, 5716.751182089319 TambergCoin;2342352, uxi, 7386.1130145039415 TambergCoin;2342352, fmw, 8100.22114115179 TambergCoin;2342352, tcl, 8636.618078743972 TambergCoin;2342352, jvs, 9723.014304163871 TambergCoin;974219262, tcl -> cmg - 8636.618078743972 TambergCoin;1077190218, zfy -> dav - 2649.5730188766192 TambergCoin;1084819421, fmw -> xhz - 8100.22114115179 TambergCoin;1111144208, lfk -> enb - 5716.751182089319 TambergCoin;1134205994, kky -> vfl - 3664.761856618379 TambergCoin;1175908120, pjd -> qeq - 3949.6611536898613 TambergCoin;1222988352, how -> bqy - 1138.6552439635682 TambergCoin;1332253392, lwh -> qhc - 5310.860835766131 TambergCoin;1425548983, jvs -> ifx - 9723.014304163871 TambergCoin;1505551779, uxi -> wik - 7386.1130145039415 TambergCoin
29A41DDB71DCB4E5848D85B647ACF10FB14CF65A0832F1667B5C556AB9DFACF0|7D3029327E8C8F21DACF9E16D66AF785D568E1D09A69BA8AD38A710FFC979826|1470186240|2342352, odq, 2231.4706304626725 TambergCoin;2342352, vpq, 3187.161482074251 TambergCoin;2342352, msm, 3236.6283033392606 TambergCoin;2342352, wkm, 3614.621871861098 TambergCoin;2342352, txn, 4096.4634649921045 TambergCoin;2342352, trz, 4790.383786034702 TambergCoin;2342352, oso, 5455.162601839431 TambergCoin;2342352, ncu, 7404.94321008365 TambergCoin;2342352, cpn, 8149.476450738022 TambergCoin;2342352, wuo, 9098.325102086581 TambergCoin;1004535184, wkm -> cee - 3614.621871861098 TambergCoin;1017328682, cpn -> csp - 8149.476450738022 TambergCoin;1172146292, vpq -> zyr - 3187.161482074251 TambergCoin;1184344056, msm -> xxn - 3236.6283033392606 TambergCoin;1234101388, ncu -> pes - 7404.94321008365 TambergCoin;1381953179, trz -> uwi - 4790.383786034702 TambergCoin;1413215948, oso -> fta - 5455.162601839431 TambergCoin;1436497408, txn -> qov - 4096.4634649921045 TambergCoin;1456762755, odq -> sia - 2231.4706304626725 TambergCoin;1470186240, wuo -> dvu - 9098.325102086581 TambergCoin
5FCD2AD0978EB13A474A14BFB861811180201CED629EA7331AEF3C874A43F898|29A41DDB71DCB4E5848D85B647ACF10FB14CF65A0832F1667B5C556AB9DFACF0|1486072315|2342352, sto, 1877.3674392119442 TambergCoin;2342352, yhl, 2005.1203397073145 TambergCoin;2342352, wtg, 3507.9548751377447 TambergCoin;2342352, duz, 6060.7321446365695 TambergCoin;2342352, kcm, 7025.406310308305 TambergCoin;2342352, rvb, 7398.613294174112 TambergCoin;2342352, qbh, 7960.885206487817 TambergCoin;2342352, lwt, 8994.073634012599 TambergCoin;2342352, ddi, 9690.617026513903 TambergCoin;2342352, qwq, 9985.534548995438 TambergCoin;1016915095, kcm -> frm - 7025.406310308305 TambergCoin;1047513524, sto -> wwc - 1877.3674392119442 TambergCoin;1154412582, ddi -> kbt - 9690.617026513903 TambergCoin;1173904447, lwt -> poj - 8994.073634012599 TambergCoin;1217125041, duz -> eih - 6060.7321446365695 TambergCoin;1220854659, yhl -> lcd - 2005.1203397073145 TambergCoin;1283854592, wtg -> xzx - 3507.9548751377447 TambergCoin;1344085869, rvb -> ijg - 7398.613294174112 TambergCoin;1363311624, qbh -> hhh - 7960.885206487817 TambergCoin;1486072315, qwq -> byh - 9985.534548995438 TambergCoin
7F60CB0586AC8E33D2089AE990F886C65C4D574FA264D6715484FE2D316EF1B8|5FCD2AD0978EB13A474A14BFB861811180201CED629EA7331AEF3C874A43F898|1519917710|2342352, pxd, 1500.6776886068167 TambergCoin;2342352, auz, 3192.2356393797163 TambergCoin;2342352, hzn, 3587.766055024023 TambergCoin;2342352, pgs, 3675.9535603729373 TambergCoin;2342352, kgg, 4452.9557894058 TambergCoin;2342352, nqz, 4474.250784280718 TambergCoin;2342352, apu, 7186.017803619012 TambergCoin;2342352, rmy, 7566.035534208581 TambergCoin;2342352, jyp, 7709.200130912907 TambergCoin;2342352, eba, 8213.36899191821 TambergCoin;963012197, pxd -> gyo - 1500.6776886068167 TambergCoin;1180274568, rmy -> iea - 7566.035534208581 TambergCoin;1281882538, kgg -> abx - 4452.9557894058 TambergCoin;1334100819, eba -> ght - 8213.36899191821 TambergCoin;1349426730, auz -> uov - 3192.2356393797163 TambergCoin;1352308284, hzn -> tyn - 3587.766055024023 TambergCoin;1390426420, jyp -> lep - 7709.200130912907 TambergCoin;1404186186, pgs -> hka - 3675.9535603729373 TambergCoin;1518973812, apu -> wtn - 7186.017803619012 TambergCoin;1519917710, nqz -> lrr - 4474.250784280718 TambergCoin
